"ID1","COUNTY/CNTY_CD","ROUTE_NAME","LOCATION","VENDOR_ID/CVG_VLM_ID","YEAR","FAADT","AADT","MONTH","FAWDT","AWDT","TYPE","LinkID_Tag","Updated LinkID","ID","Daily_Counts","Screenline","Cutline"
3221,"50","US 301","N OF NORTH ST","5009022",2017,19646,20000,0,22262,22000,"CB","39774",39774,39774,22000,,
3220,"JOHNSTON","US-70","Between I-95 SB ramp and Industrial Dr","17-10667",,,,,,23000,,,39771,39771,11500,,
3219,"50","US 70/NC 39","E OF US 301/NC 96","5000066",2017,21901,22000,0,22291,22000,"CB","40012",39770,39770,11000,,
3218,"50","SR 1927","E OF US 301/NC 39-96","5003488",2017,3920,3900,0,3990,4000,"CB","39763",39763,39763,4000,,
3217,"50","US 301/NC 39-96","N OF SR 1927","5000020",2017,12914,13000,0,14633,15000,"CB","39761",39761,39761,15000,,
3216,"50","SR 1001","E OF US 301/NC 39","5001822",2017,3893,3900,0,3962,4000,"CB","39759",39759,39759,4000,,
3215,"50","SR 1001","E OF SR 2332","5003489",2017,3104,3100,0,3159,3200,"GF","39757",39757,39757,3200,,
3214,"50","NC 39","N OF US 301","5000156",2017,3551,3600,0,3614,3600,"CB","39754",39754,39754,3600,,
3213,"50","NC 96","N OF SR 1981","5000109",2017,2318,2300,0,2359,2400,"CB","39744",39744,39744,2400,,
3212,"50","SR 2130","W OF US 301","5001861",2017,1183,1200,0,1204,1200,"GF","39738",39738,39738,1200,,
3211,"50","US 301","S OF SR 2139","5000015",2017,3168,3200,0,3590,3600,"GF","39736",39736,39736,3600,,
3210,"50","SR 1934","N OF SR 2137","5001535",2017,1162,1200,0,1183,1200,"CB","39730",39730,39730,1200,,
3209,"50","SR 2143","S OF NC 222","5009001",2017,399,400,0,406,410,"CB","39726",39726,39726,410,,
3208,"JOHNSTON","NC-222","Between Beulahtown Rd and Old Stancil Rd","17-13061",,,,,,2300,,,39723,39723,2300,,
3207,"JOHNSTON","NC-42","Between Rex-Turner Rd and Zelma Rd","17-13059",,,,,,3900,,,39717,39717,3900,,
3206,"JOHNSTON","US-301","S OF SR 1100","17-02479",,,,,,6400,,,39715,39715,6400,,
3205,"JOHNSTON","SR-1178","Southeast of I-95","17-02496",,,,,,3200,,,39714,39714,3200,,
3204,"JOHNSTON","SR-1178","Between I-95 SB ramps and Allendale Rd","17-02497",,,,,,7200,,,39713,39713,7200,,
3203,"50","SR 1003","N OF NORTH ST","5009020",2017,3672,3700,0,3737,3700,"CB","39703",39703,39703,3700,,
3202,"JOHNSTON","NC-50","S OF NC 242","17-02482",,,,,,6500,,,39687,39687,6500,,
3201,"JOHNSTON","I-95","FROM EXIT 77 TO EXIT 79","17-10660",,,,,,57000,,,39677,39677,28500,,
3200,"50","NC 50-242","W OF SR 1204","5000124",2017,9870,9900,0,10046,10000,"CB","39674",39674,39674,10000,,
3199,"50","US 301","S OF NC 50-242","5000040",2017,8448,8400,0,9573,9600,"CB","39673",39673,39673,9600,,
3198,"50","NC 50","E OF NC 50","5000126",2017,8465,8500,0,8616,8600,"CB","39672",39672,39672,8600,,
3197,"50","US 301/NC 242","N OF NC 50","5000039",2017,8145,8100,0,9229,9200,"CB","39671",39671,39671,9200,,
3196,"JOHNSTON","I-95","S of I-40","18-10071",,,,,,69000,,,39670,39670,34500,6,
3195,"JOHNSTON","I-95","S of I-40","18-10071",,,,,,69000,,,39669,39669,34500,6,
3194,"JOHNSTON","I-40","South of I-95","17-05605",,,,,,16000,,,39668,39668,8000,,
3193,"JOHNSTON","I-40","Between Exit 325 and Exit 328","17-10663",,,,,,41000,,,39645,39645,20500,,
3192,"JOHNSTON","I-40","Between Exit 325 and Exit 328","17-10663",,,,,,41000,,,39643,39643,20500,,
3191,"JOHNSTON","SR-1308","Between NC 50 and I-40","17-03464",,,,,,1000,,,39640,39640,1000,6,
3190,"50","I-95","FROM EXIT 81 TO EXIT 87","5000170",2017,39818,40000,0,35818,36000,"CB","39618",39638,39638,18000,,
3189,"JOHNSTON","SR-1162","South of I-95","17-02495",,,,,,2800,,,39629,39629,2800,,
3188,"50","I-95","FROM EXIT 81 TO EXIT 87","5000170",2017,39818,40000,0,35818,36000,"CB","39618",39618,39618,18000,,
3187,"50","I-95","FROM EXIT 87 TO EXIT 90","5000010",2017,41390,41000,0,37232,37000,"CB","39609",39616,39616,18500,,
3186,"50","I-95","FROM EXIT 87 TO EXIT 90","5000010",2017,41390,41000,0,37232,37000,"CB","39609",39609,39609,18500,,
3185,"JOHNSTON","NC-96","South of I-95 NB off-ramp","17-02500",,,,,,1500,,,39607,39607,1500,,
3184,"50","SR 1162","S OF SR 1203","5001846",2017,1322,1300,0,1346,1300,"GF","39586",39586,39586,1300,,
3183,"50","US 301","E OF SR 1162","5000033",2017,8810,8800,0,9983,10000,"CB","39583",39583,39583,10000,,
3182,"50","SR 1162","N OF US 301","5001842",2017,3385,3400,0,3445,3400,"GF","39581",39581,39581,3400,,
3181,"50","SR 1343","W OF US 301/NC 96","5001833",2017,2240,2200,0,2280,2300,"CB","39577",39577,39577,2300,,
3180,"50","SR 1341","N OF US 301/NC 96","5001834",2017,2352,2400,0,2394,2400,"CB","39575",39575,39575,2400,,
3179,"JOHNSTON","US-301","South of Lakeview Hills Rd","17-02498",,,,,,10000,,,39574,39574,10000,,
3178,"50","SR 1338","S OF NC 210","5001629",2017,427,430,0,435,440,"GF","39573",39573,39573,440,,
3177,"JOHNSTON","NC-210","Between Black Creek Rd and Lassiter Pond Rd","17-02490",,,,,,4500,,,39571,39571,4500,,
3176,"50","SR 1341","S OF NC 210","5001624",2017,2770,2800,0,2819,2800,"CB","39569",39569,39569,2800,,
3175,"50","I-95","FROM EXIT 93 TO EXIT 95","5000008",2017,45536,46000,0,40962,41000,"CB","39563",39563,39563,20500,,
3174,"JOHNSTON","SR-1007","South of S Brightleaf Blvd","17-10691",,,,,,5000,,,39555,39555,5000,,
3173,"50","I-95","FROM EXIT 93 TO EXIT 95","5000008",2017,45536,46000,0,40962,41000,"CB","39563",39553,39553,20500,,
3172,"50","US 70 BUS","E OF SR 2560","5009028",2017,14119,14000,0,15999,16000,"CB","39551",39551,39551,16000,,
3171,"50","US 70 BUS","E OF I-95","5000049",2017,7030,7000,0,7966,8000,"CB","39549",39549,39549,8000,,
3170,"50","SR 2398","S OF SR 2403","5003427",2017,10414,10000,0,10599,11000,"CB","39539",39539,39539,11000,,
3169,"JOHNSTON","US-70","Between US-70 A HWY and I-95","17-03450",,,,,,20000,,,39530,39530,10000,,
3168,"50","US 301/NC 96","S OF SR 1923","5000025",2017,26117,26000,0,29594,30000,"CB","39516",39516,39516,30000,,
3167,"50","US 70","W OF US 301/NC 96","5000067",2017,17359,17000,0,17668,18000,"CB","40010",39510,39510,9000,,
3166,"JOHNSTON","US-70","North of Industrial Park Dr","17-03449",,,,,,18000,,,39508,39508,9000,,
3165,"JOHNSTON","US-70","Between I-95 SB ramp and Industrial Dr","17-10667",,,,,,23000,,,39507,39507,11500,,
3164,"50","SR 1923","W OF SR 1003","5003518",2017,6459,6500,0,6574,6600,"GF","39506",39506,39506,6600,,
3162,"50","US 70","S OF SR 1003","5009017",2017,32362,32000,0,32938,33000,"CB","54511",39503,39503,16500,,
3161,"JOHNSTON","SR-1927","Southeast of I-95","17-03452",,,,,,3300,,,39502,39502,3300,,
3160,"50","I-95","FROM EXIT 97 TO EXIT 98","5000006",2017,42261,42000,0,38016,38000,"CB","39500",39500,39500,19000,,
3159,"50","I-95","FROM EXIT 97 TO EXIT 98","5000006",2017,42261,42000,0,38016,38000,"CB","39500",39494,39494,19000,,
3158,"50","I-95","FROM EXIT 98 TO EXIT 101","5000139",2017,41772,42000,0,37576,38000,"CB","39490",39490,39490,19000,,
3157,"50","US 301/NC 39-96","S OF SR 1927","5000021",2017,15188,15000,0,17210,17000,"CB","39486",39486,39486,17000,,
3156,"50","SR 1927","W OF US 301/NC 39-96","5003490",2017,2847,2800,0,2898,2900,"GF","39485",39485,39485,2900,,
3155,"50","SR 1900","W OF US 301/NC 39-96","5001824",2017,3782,3800,0,3849,3800,"CB","39479",39479,39479,3800,,
79,"50","SR 1003","N OF SR 1900","5001818",2017,12742,13000,0,12969,13000,"CB","39476",39476,39476,13000,,
3154,"50","SR 1003","N of SR 1929","5001579",2017,11746,12000,0,11955,12000,"CB","39475",39475,39475,12000,,
3153,"50","I-95","FROM EXIT 101 TO EXIT 102","5000005",2017,41476,41000,0,37310,37000,"CB","39460",39461,39461,18500,,
3152,"50","I-95","FROM EXIT 101 TO EXIT 102","5000005",2017,41476,41000,0,37310,37000,"CB","39460",39460,39460,18500,,
3151,"JOHNSTON","SR-2130","S OF I-95","17-03458",,,,,,1400,,,39452,39452,1400,,
3150,"50","US 301/NC 39","S OF NC 39","5000018",2017,5727,5700,0,6490,6500,"CB","39451",39451,39451,6500,,
3149,"50","NC 96","S OF SR 1934","5000108",2017,2463,2500,0,2507,2500,"CB","39449",39449,39449,2500,,
3148,"50","SR 1934","E OF NC 96","5001538",2017,1928,1900,0,1962,2000,"GF","39448",39448,39448,2000,,
3147,"50","SR 1934","E OF NC 39","5001539",2017,1632,1600,0,1661,1700,"CB","39444",39444,39444,1700,,
3146,"JOHNSTON","SR-2137","Between US-301 and Ballpark Rd","17-03455",,,,,,1300,,,39443,39443,1300,,
3145,"50","US 301","N OF NC 39","5000017",2017,3102,3100,0,3515,3500,"CB","39442",39442,39442,3500,,
3144,"50","SR 2141","N OF US 301","5001862",2017,703,700,0,716,720,"CB","39433",39433,39433,720,,
3143,"50","I-95","FROM EXIT 102 TO EXIT 105","5000004",2017,40739,41000,0,36647,37000,"CB","39428",39429,39429,18500,,
3142,"50","I-95","FROM EXIT 102 TO EXIT 105","5000004",2017,40739,41000,0,36647,37000,"CB","39428",39428,39428,18500,,
3141,"JOHNSTON","SR-2339","N OF SR 2335","17-13064",,,,,,1800,,,39427,39427,1800,,
3140,"JOHNSTON","SR-2339","Between I-95 SB ramps and Peele Farm Rd","17-13063",,,,,,2100,,,39419,39419,2100,,
3139,"50","US 301","S OF SR 2339","5003400",2017,3915,3900,0,4436,4400,"CB","39418",39418,39418,4400,,
3138,"JOHNSTON","SR-2399","S OF I-95","17-13066",,,,,,4300,,,39415,39415,4300,,
3137,"JOHNSTON","SR-2177","W of I-95","17-02475",,,,,,5500,,,39402,39402,5500,,
3136,"WILSON","I-95","North of Exit 107","17-05603",,,,,,26000,,,39388,39388,13000,,
3135,"WILSON","I-95","North of Exit 107","17-05603",,,,,,26000,,,39384,39384,13000,,
3134,"JOHNSTON","SR-2399","Between Johnston Pky Rd and I-95 SB ramps","17-13065",,,,,,3400,,,39381,39381,3400,,
3133,"50","SR 2144","W OF US 301","5001532",2017,758,760,0,772,770,"GF","39380",39380,39380,770,,
3132,"50","SR 1934","S OF SR 2143","5009008",2017,900,900,0,916,920,"CB","39378",39378,39378,920,,
3131,"50","SR 2143","E OF SR 2148","5001531",2017,687,690,0,699,700,"GF","39376",39376,39376,700,,
3130,"50","SR 2148","S OF SR 2146","5001523",2017,571,570,0,581,580,"CB","39375",39375,39375,580,,
